day,lower,mid,upper,calves,total,date
145,200,0,0,0,200,Mon 11-01-21
146,220,0,0,0,220,Tue 11-02-21
147,250,0,0,0,250,Wed 11-03-21
148,0,0,200,0,200,Thu 11-04-21
149,0,0,0,0,0,Fri 11-05-21
150,0,340,0,0,340,Sat 11-06-21
151,220,0,150,0,370,Sun 11-07-21
152,0,0,0,0,0,Mon 11-08-21
153,460,0,0,0,460,Tue 11-09-21
154,0,400,0,0,400,Wed 11-10-21
155,300,0,0,0,300,Thu 11-11-21
156,300,0,0,0,300,Fri 11-12-21
157,0,0,230,0,230,Sat 11-13-21
158,0,0,0,0,0,Sun 11-14-21
159,0,0,100,0,100,Mon 11-15-21
160,0,0,0,0,0,Tue 11-16-21
161,200,0,0,0,200,Wed 11-17-21
162,200,0,200,0,400,Thu 11-18-21
163,300,0,0,0,300,Fri 11-19-21
164,0,0,175,0,175,Sat 11-20-21
165,200,0,0,0,200,Sun 11-21-21
166,0,0,500,0,500,Mon 11-22-21
167,200,0,0,0,200,Tue 11-23-21
168,0,0,650,0,650,Wed 11-24-21
169,0,0,0,0,0,Thu 11-25-21
170,400,0,0,0,400,Fri 11-26-21
171,0,0,500,0,500,Sat 11-27-21
172,185,0,0,0,185,Sun 11-28-21
173,0,0,0,0,0,Mon 11-29-21
174,0,0,0,0,0,Tue 11-30-21
175,0,0,0,0,0,Wed 12-01-21
176,200,0,0,0,200,Thu 12-02-21
177,0,0,400,0,400,Fri 12-03-21
178,300,0,0,0,300,Sat 12-04-21
179,0,0,600,0,600,Sun 12-05-21
180,0,0,0,0,0,Mon 12-06-21
181,200,0,0,0,200,Tue 12-07-21
182,280,0,0,0,280,Wed 12-08-21
183,0,0,0,0,0,Thu 12-09-21
184,100,0,200,0,300,Fri 12-10-21
185,100,0,0,0,100,Sat 12-11-21
186,500,0,0,0,500,Sun 12-12-21
187,0,0,0,0,0,Mon 12-13-21
188,0,0,0,0,0,Tue 12-14-21
189,400,0,0,0,400,Wed 12-15-21
190,0,0,0,0,0,Thu 12-16-21
191,345,0,0,0,345,Fri 12-17-21
192,0,0,510,0,510,Sat 12-18-21
193,300,0,0,0,300,Sun 12-19-21
194,550,0,0,0,550,Mon 12-20-21
195,0,0,0,0,0,Tue 12-21-21
196,250,50,0,0,300,Wed 12-22-21
197,100,0,145,0,245,Thu 12-23-21
198,600,0,50,0,650,Fri 12-24-21
199,500,400,0,0,900,Sat 12-25-21
200,300,0,0,0,300,Sun 12-26-21
201,0,0,0,0,0,Mon 12-27-21
202,400,0,0,0,400,Tue 12-28-21
203,200,100,120,0,420,Wed 12-29-21
204,457,0,0,0,457,Thu 12-30-21
205,0,120,330,0,450,Fri 12-31-21
206,240,0,0,0,240,Sat 01-01-22
207,350,0,0,0,350,Sun 01-02-22
208,0,0,0,0,0,Mon 01-03-22
209,0,0,0,0,0,Tue 01-04-22
210,570,0,0,0,570,Wed 01-05-22
211,0,500,500,0,1000,Thu 01-06-22
212,0,0,0,0,0,Fri 01-07-22
213,400,0,0,0,400,Sat 01-08-22
214,0,0,360,0,360,Sun 01-09-22
215,420,0,0,0,420,Mon 01-10-22
216,0,0,200,0,200,Tue 01-11-22
217,0,0,0,0,0,Wed 01-12-22
218,0,0,0,0,0,Thu 01-13-22
219,0,0,0,0,0,Fri 01-14-22
220,0,100,134,0,234,Sat 01-15-22
221,300,50,0,0,350,Sun 01-16-22
222,440,0,0,0,440,Mon 01-17-22
223,0,0,212,0,212,Tue 01-18-22
224,450,50,0,0,500,Wed 01-19-22
225,0,0,0,0,0,Thu 01-20-22
226,300,0,0,0,300,Fri 01-21-22
227,0,0,0,0,0,Sat 01-22-22
228,0,0,0,0,0,Sun 01-23-22
229,0,0,0,0,0,Mon 01-24-22
230,0,0,0,0,0,Tue 01-25-22
231,300,0,0,0,300,Wed 01-26-22
232,0,0,0,0,0,Thu 01-27-22
233,0,0,0,0,0,Fri 01-28-22
234,0,0,0,0,0,Sat 01-29-22
235,250,0,15,0,265,Sun 01-30-22
236,300,50,0,0,350,Mon 01-31-22
237,0,0,0,0,0,Tue 02-01-22
238,400,0,0,0,400,Wed 02-02-22
239,0,0,400,0,400,Thu 02-03-22
240,300,50,0,0,350,Fri 02-04-22
241,300,30,0,0,330,Sat 02-05-22
242,0,0,0,0,0,Sun 02-06-22
243,0,0,0,0,0,Mon 02-07-22
244,170,0,100,0,270,Tue 02-08-22
245,150,40,115,0,305,Wed 02-09-22
246,250,36,0,0,286,Thu 02-10-22
247,200,80,280,0,560,Fri 02-11-22
248,0,0,0,0,0,Sat 02-12-22
249,0,0,0,0,0,Sun 02-13-22
250,0,0,0,0,0,Mon 02-14-22
251,0,0,0,0,0,Tue 02-15-22
252,0,0,0,0,0,Wed 02-16-22
253,100,50,160,0,310,Thu 02-17-22
254,300,0,0,0,300,Fri 02-18-22
255,100,50,100,0,250,Sat 02-19-22
256,0,0,0,0,0,Sun 02-20-22
257,0,0,0,0,0,Mon 02-21-22
258,100,0,250,0,350,Tue 02-22-22
259,0,0,0,0,0,Wed 02-23-22
260,0,0,0,0,0,Thu 02-24-22
261,50,0,200,0,250,Fri 02-25-22
262,300,0,0,0,300,Sat 02-26-22
263,200,40,50,0,290,Sun 02-27-22
264,0,0,250,0,250,Mon 02-28-22
265,0,0,0,0,0,Tue 03-01-22
266,300,60,0,0,360,Wed 03-02-22
267,0,0,260,0,260,Thu 03-03-22
268,300,0,0,0,300,Fri 03-04-22
269,50,50,300,0,400,Sat 03-05-22
270,400,0,0,0,400,Sun 03-06-22
271,0,50,250,0,300,Mon 03-07-22
272,200,0,0,0,200,Tue 03-08-22
273,0,0,0,0,0,Wed 03-09-22
274,100,0,100,0,200,Thu 03-10-22
275,430,50,0,0,480,Fri 03-11-22
276,100,0,0,0,100,Sat 03-12-22
277,0,0,200,0,200,Sun 03-13-22
278,0,0,0,0,0,Mon 03-14-22
279,250,50,0,0,300,Tue 03-15-22
280,250,50,250,0,550,Wed 03-16-22
281,160,90,0,0,270,Thu 03-17-22
282,250,30,70,0,350,Fri 03-18-22
283,0,0,0,0,0,Sat 03-19-22
284,0,0,0,0,0,Sun 03-20-22
